Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
8920 Gold Bluff Dr,4 Beds,3 Baths,"4,156 sqft",2002,3 Car Garage,No,"$620,000",Colorado
7211 McEwan St,3 Beds,2 Baths,"1,295 sqft",2000,2 Car Garage,No,"$370,000",Colorado
2455 Wimbleton Ct,5 Beds,4 Baths,"3,488 sqft",1994,3 Car Garage,No,"$599,000",Colorado
6456 Forest Thorn Ct,3 Beds,3 Baths,"3,322 sqft",2014,2 Car Garage,No,"$520,000",Colorado
6843 Harrier Dr,5 Beds,4 Baths,"3,166 sqft",2007,2 Car Garage,No,"$440,000",Colorado
6394 Leadville Cir,4 Beds,2 Baths,"1,916 sqft",1982,2 Car Garage,No,"$499,900",Colorado
6055 Faxon Ct,4 Beds,3 Baths,"3,160 sqft",1996,2 Car Garage,No,"$467,800",Colorado
5020 Austerlitz Dr,3 Beds,3 Baths,"2,039 sqft",1992,2 Car Garage,No,"$400,000",Colorado
2066 Sather Dr,5 Beds,3 Baths,"4,016 sqft",1990,2 Car Garage,No,"$550,000",Colorado
7148 Winterstone Ct,4 Beds,3 Baths,"3,452 sqft",2020,3 Car Garage,No,"$594,000",Colorado
5630 Mercer Dr,4 Beds,4 Baths,"3,637 sqft ",1999,3 Car Garage,No,"$675,000",Colorado
2007 McCooke Dr,3 Beds,2 Baths,"1,296 sqft",1964,Garage,No,"$319,900",Colorado
1107 Parkview Blvd,4 Beds,3 Baths,"2,544 sqft",1954,1 Car Garage,No,"$550,000",Colorado
2116 N Chelton Rd,5 Beds,3 Baths,"2,087 sqft",1962,No Info,No,"$350,000",Colorado
1316 N Hancock Ave,4 Beds,2 Baths,"1,817 sqft",1954,1 Car Garage,No,"$515,000",Colorado
3172 Squaw Valley Dr,4 Beds,3 Baths,"1,850 sqft",1973,2 Car Garage,No,"$399,900",Colorado
6080 Moorfield Ave,4 Beds,3 Baths,"2,406 sqft",1986,2 Car Garage,No,"$549,500",Colorado
3435 Bethel Ct,5 Beds,4 Baths,"3,847 sqft ",1993,2 Car Garage,No,"$575,000",Colorado
3535 Birnamwood Dr,5 Beds,4 Baths,"2,345 sqft",1988,2 Car Garage,No,"$590,000",Colorado
2024 Alperton Hts,3 Beds,3 Baths,"1,940 sqft",2019,2 Car Garage,No,"$375,000",Colorado
6314 Moate Ln,5 Beds,4 Baths,"3,088 sqft",2020,2 Car Garage,No,"$540,000",Colorado
27 Broadmoor Ave,4 Beds,4 Baths,"4,210 sqft ",1924,4 Car Garage,No,"$1,400,000",Colorado
4753 Trinidad Lake Ct,6 Beds,4 Baths,"3,111 sqft",2008,2 Car Garage,No,"$615,000",Colorado
7647 Manistique Dr,3 Beds,3 Baths,"1,475 sqft",2010,2 Car Garage,No,"$385,000",Colorado
5660 Rose Ridge Ln,3 Beds,3 Baths,"2,726 sqft",2002,2 Car Garage,No,"$450,000",Colorado
6240 Garlock Way,4 Beds,3 Baths,"2,473 sqft ",1977,2 Car Garage,No,"$500,000",Colorado
9874 Silver Stirrup Dr,5 Beds,4 Baths,"2,768 sqft",2015,2 Car Garage,No,"$455,000",Colorado
1980 Heatherdale Dr,4 Beds,3 Baths,"2,337 sqft",1984,2 Car Garage,No,"$410,000",Colorado
9036 Golden Bluffs Dr,4 Beds,3 Baths,"3,375 sqft",2021,3 Car Garage,No,"$559,300",Colorado
924 Magnolia St,4 Beds,2 Baths,"1,945 sqft ",1968,2 Car Garage,No,"$430,000",Colorado
911 N Corona St,3 Beds,3 Baths,"2,313 sqft",1923,Garage,No,"$550,000",Colorado
10987 Tarbell Dr,5 Beds,3 Baths,"3,517 sqft",2021,3 Car Garage,No,"$569,800",Colorado
8144 Phyllite Dr,3 Beds,3 Baths,"2,266 sqft",2020,2 Car Garage,No,"$430,000",Colorado
3745 Valley View St,3 Beds,3 Baths,"1,506 sqft",1986,2 Car Garage,No,"$375,000",Colorado
6784 Dancing Wind Dr,5 Beds,3 Baths,"3,481 sqft",2017,Garage,No,"$649,900",Colorado
919 N 18th St,3 Beds,2 Baths,"1,536 sqft",1971,Attached Garage,No,"$394,000",Colorado
3150 Rhapsody Ct,4 Beds,2 Baths,"1,760 sqft",1982,2 Car Garage,No,"$415,000",Colorado
1095 Western Dr #20A,2 Beds,2 Baths,"1,056 sqft",1980,Garage,No,"$122,500",Colorado
910 Popes Valley Dr,4 Beds,4 Baths,"3,679 sqft",1984,2 Car Garage,No,"$699,000",Colorado
4546 Del Verde Dr,4 Beds,2 Baths,"1,681 sqft",1967,1 Car Garage,No,"$360,000",Colorado
907 W Madison St,3 Beds,2 Baths,"1,728 sqft",1967,No Info,No,"$300,000",Colorado
4017 Wakely Dr,3 Beds,2 Baths,912 sqft ,1968,No Info,No,"$354,900",Colorado
4615 Skywriter Cir,4 Beds,3 Baths,"2,319 sqft",1999,2 Car Garage,No,"$420,000",Colorado
6103 Cider Mill Pl,3 Beds,3 Baths,"2,726 sqft",2019,2 Car Garage,No,"$439,900",Colorado
1105 Mercury Dr,2 Beds,2 Baths,"1,847 sqft",1953,3 Parking Spaces,No,"$319,000",Colorado
6080 Pemberton Way,3 Beds,3 Baths,"1,309 sqft",1984,2 Car Garage,No,"$437,500",Colorado
3330 Templeton Gap Rd #6,2 Beds,3 Baths,"1,448 sqft",1977,2 Car Garage,Pool,"$300,000",Colorado
4907 Turning Leaf Way,4 Beds,4 Baths,"2,879 sqft",2005,Garage,No,"$469,900",Colorado
118 Creekside Ln,3 Beds,3 Baths,"1,623 sqft",1978,2 Car Garage,,"$335,000",Colorado
1915 Essex Ln,4 Beds,2 Baths,"2,107 sqft",1962,1 Car Garage,No,"$350,000",Colorado
14 E Mill St,3 Beds,2 Baths,"1,214 sqft",1937,Garage,No,"$310,000",Colorado
2472 Willow Glen Dr,4 Beds,4 Baths,"4,048 sqft ",1999,3 Car Garage,No,"$800,000",Colorado
1849 Flintshire St,3 Beds,3 Baths,"1,588 sqft",2003,Garage,No,"$365,000",Colorado
2615 Tomah Pl,4 Beds,2 Baths,"1,666 sqft",1973,2 Car Garage,No,"$389,900",Colorado
260 Bennington Dr,4 Beds,3 Baths,"2,888 sqft",1982,2 Car Garage,,"$399,973",Colorado
6375 Shirecliff Dr,4 Beds,4 Baths,"2,468 sqft",1994,2 Car Garage,No,"$450,000",Colorado
5639 Sunshade Point,3 Beds,3 Baths,"1,634 sqft",2002,1 Car Garage,,"$305,000",Colorado
5367 Ferrari Dr,4 Beds,4 Baths,"2,267 sqft",2006,2 Car Garage,No,"$489,000",Colorado
2226 N 7th St,2 Beds,1 Bath,816 sqft ,1951,No Info,No,"$325,000",Colorado
5164 Yari Dr,5 Beds,3 Baths,"4,220 sqft ",2021,3 Car Garage,No,"$931,757",Colorado
3986 Star Vw,2 Beds,3 Baths,"1,544 sqft",2007,2 Car Garage,,"$375,000",Colorado
2593 Mesa Springs Vw,3 Beds,2 Baths,"1,180 sqft",2003,Garage,,"$295,000",Colorado
6601 Cool Mountain Dr,5 Beds,4 Baths,"3,166 sqft",2003,2 Car Garage,No,"$475,000",Colorado
2750 Montague Dr,2 Beds,1 Bath,947 sqft,1984,No Info,,"$235,000",Colorado
2723 Penacho Cir,3 Beds,3 Baths,"1,673 sqft ",1969,2 Car Garage,No,"$429,000",Colorado
2035 Bristlecone Dr,2 Beds,1 Bath,"1,126 sqft",1987,1 Car Garage,,"$280,000",Colorado
8705 Country Creek Trl,4 Beds,3 Baths,"3,556 sqft",2005,Garage,No,"$594,900",Colorado
5202 Pine Haven Dr,5 Beds,3 Baths,"3,098 sqft",1998,Garage,No,"$478,100",Colorado
1956 Montebello Dr W,4 Beds,3 Baths,"4,430 sqft ",2000,Garage,No,"$734,900",Colorado
6699 Bethesda Point #C,2 Beds,2 Baths,"1,234 sqft",2006,Garage,,"$285,000",Colorado
2327 Silent Rain Dr,3 Beds,1 Bath,"1,192 sqft",1982,2 Car Garage,No,"$420,000",Colorado
13736 Silverberry Pl,,,"4,182 sqft ",2003,3 Car Garage,No,"$675,000",Colorado
2042 Austrian Way,2 Beds,2 Baths,"1,296 sqft",1996,1 Car Garage,,"$299,000",Colorado
5219 Solar Ridge Dr,3 Beds,2 Baths,"1,476 sqft",1986,1 Car Garage,No,"$350,000",Colorado
4205 S Nonchalant Cir,3 Beds,3 Baths,"2,131 sqft",1971,Garage,No,"$454,900",Colorado
