Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
12222 Summerbreeze Ln,3 Beds,3 Baths,"1,539 sqft",1988,2 Car Garage,No,"$1,010,000",San Diego
4944 Vandever Ave,3 Beds,2 Baths,"1,307 sqft",1955,2 Car Garage,No,"$725,000",San Diego
10770 Black Mountain Rd,3 Beds,2 Baths,"1,434 sqft",2022,Carport,Pool,"$345,000",San Diego
10535 Livewood Way,4 Beds,3 Baths,"2,746 sqft ",1982,3 Car Garage,No,"$1,689,000",San Diego
17337 Francisco Dr,4 Beds,2 Baths,"2,012 sqft ",1968,2 Car Garage,No,"$1,200,000",San Diego
3602 Highland Ave,4 Beds,2 Baths,"1,487 sqft",1967,Open Parking,No,"$574,000",San Diego
308 Vista De La Playa,7 Beds,9 Baths,"10,300 sqft",2000,3 Car Garage,Yes,"$28,000,000",San Diego
4575 La Cuenta Dr,4 Beds,2 Baths,"1,817 sqft",1978,2 Car Garage,No,"$1,250,000",San Diego
8244 Prestwick Dr,5 Beds,6 Baths,"4,478 sqft ",2010,3 Car Garage,Yes,"$12,450,000",San Diego
4735 Panorama Dr,2 Beds,2 Baths,"1,089 sqft",1924,Garage,No,"$1,199,950",San Diego
10416 Whitcomb Way #96,4 Beds,3 Baths,"1,642 sqft ",2006,2 Car Garage,No,"$894,999",San Diego
1528 Reklow Dr,3 Beds,2 Baths,"1,481 sqft",1973,2 Car Garage,No,"$680,000",San Diego
2758 Ariane Dr #123,2 Beds,3 Baths,"1,210 sqft ",1981,2 Car Garage,Pool,"$649,000",San Diego
3955 Faircross Pl #78,2 Beds,2 Baths,"1,069 sqft",1985,1 Car Garage,Pool,"$399,000",San Diego
15886 Anjou Ln,4 Beds,3 Baths,"2,806 sqft",2017,2 Car Garage,No,"$1,795,000",San Diego
13520 Jadestone Way,2 Beds,3 Baths,"1,231 sqft",1995,2 Car Garage,Pool,"$849,900",San Diego
8022 Linda Vista Rd #1N,2 Beds,2 Baths,900 sqft ,1977,1 Car Garage,Pool,"$409,950",San Diego
3552 Brookshire St,4 Beds,2 Baths,"1,470 sqft",1963,2 Car Garage,No,"$875,000",San Diego
5554 Santa Margarita St,4 Beds,2 Baths,"1,512 sqft",1961,Open Parking,No,"$550,000",San Diego
5404 Maisel Way,5 Beds,3 Baths,"1,984 sqft ",1965,Garage,No,"$1,150,000",San Diego
2812 Webster Ave,3 Beds,2 Baths,"1,177 sqft",2021,Open Parking,No,"$699,000",San Diego
6691 Duck Pond Ln,6 Beds,9 Baths,"15,264 sqft ",2008,5 Car Garage,Yes,"$15,995,000",San Diego
2716 Farragut Rd,3 Beds,3 Baths,"1,093 sqft ",2004,2 Car Garage,Pool,"$950,000",San Diego
406 S 33rd St,3 Beds,2 Baths,"1,235 sqft",1970,2 Car Garage,No,"$650,000",San Diego
4625 Texas St #4,2 Beds,2 Baths,824 sqft,1986,Garage,Pool,"$499,500",San Diego
7529 Viewcrest Dr,4 Beds,2 Baths,"1,380 sqft",1972,2 Car Garage,No,"$725,000",San Diego
6971 Wheatley St,3 Beds,2 Baths,"1,156 sqft",1959,2 Car Garage,Yes,"$820,000",San Diego
7654 Angeleno Rd,3 Beds,2 Baths,"1,134 sqft",1972,2 Car Garage,No,"$850,000",San Diego
527 Forward St,2 Beds,1 Bath,"1,022 sqft",1949,1 Car Garage,No,"$1,475,000",San Diego
2228 River Run Dr #172,1 Bed,1 Bath,682 sqft ,1985,Carport,Pool,"$429,000",San Diego
390 San Antonio Ave #13,2 Beds,2 Baths,"1,275 sqft",1965,No Info,Pool,"$339,000",San Diego
8755 Navajo Rd #1,3 Beds,2 Baths,"1,209 sqft ",1972,1 Parking Spaces,Pool,"$425,000",San Diego
450 J St #5071,2 Beds,2 Baths,"1,016 sqft ",2004,Garage,Pool,"$585,000",San Diego
5438 Gilbert Dr,5 Beds,2 Baths,"1,392 sqft",1945,1 Car Garage,No,"$849,000",San Diego
2003 Bayview Heights Dr #230,2 Beds,2 Baths,"1,440 sqft",1971,Carport,,"$139,000",San Diego
1142 Camino Regalado,3 Beds,2 Baths,"1,407 sqft",1988,2 Car Garage,No,"$495,000",San Diego
3340 Del Sol Blvd #209,3 Beds,2 Baths,"1,422 sqft",2020,2 Carport Spaces,Pool,"$270,000",San Diego
2873 Upas St,3 Beds,2 Baths,"1,698 sqft",1943,2 Car Garage,No,"$1,349,900",San Diego
5780 Rancho Hills Dr,4 Beds,3 Baths,"2,220 sqft",1962,1 Car Garage,No,"$749,000",San Diego
3670 Arey Dr #13,3 Beds,2 Baths,"1,071 sqft",1976,Garage,Pool,"$449,000",San Diego
7942 Avenida Tamarindo,4 Beds,3 Baths,"2,608 sqft",2017,2 Car Garage,No,"$1,450,000",San Diego
2057 Haller St,3 Beds,3 Baths,"1,434 sqft",1986,Carport,,"$678,000",San Diego
2742 Dahlia Ave,3 Beds,2 Baths,"2,000 sqft",1970,2 Car Garage,No,"$739,000",San Diego
312 Bonair St,3 Beds,4 Baths,"2,467 sqft",1988,Garage,,"$2,450,000",San Diego
9229 Village Glen Dr #231,2 Beds,2 Baths,"1,050 sqft",1980,Open Parking,Pool,"$450,000",San Diego
3702 Via Del Conquistador,4 Beds,3 Baths,"1,875 sqft",1969,2 Car Garage,No,"$1,599,000",San Diego
2455 Albatross St #C,2 Beds,2 Baths,"1,081 sqft",1994,Garage,,"$675,000",San Diego
16849 Dominican Dr,3 Beds,2 Baths,"1,500 sqft",1964,2 Car Garage,No,"$799,000",San Diego
3130 Avenida De Portugal #302,2 Beds,2 Baths,"1,099 sqft",1984,2 Car Garage,,"$614,900",San Diego
5559 Mount Aconia Dr,3 Beds,2 Baths,"1,288 sqft",1964,2 Car Garage,No,"$875,000",San Diego
5615 Caminito Katerina,2 Beds,2 Baths,"1,000 sqft",1973,2 Car Garage,Pool,"$575,000",San Diego
