Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
951 NE Brickell Ave #1900,1 Bed,1 Bath,774 sqft,2008,Garage,Pool,"$470,000",Miami
227 NW 39th St,3 Beds,3 Baths,"1,900 sqft",2021,Garage,No,"$1,190,000",Miami
4713 NW 7th St #402-1,2 Beds,3 Baths,782 sqft,1973,No Info,Pool,"$190,000",Miami
2149 SW 30th Ct,4 Beds,5 Baths,"2,850 sqft",2021,Garage,,"$1,099,000",Miami
2101 SW 22nd Ave,5 Beds,4 Baths,"2,395 sqft",1953,Open Parking,No,"$1,069,000",Miami
475 Brickell Ave #4914,1 Bed,1 Bath,798 sqft,2008,Garage,,"$530,000",Miami
851 NE 1st Ave #812,3 Beds,4 Baths,"2,321 sqft",2019,Garage,Pool,"$2,300,000",Miami
3651 Saint Gaudens Rd,5 Beds,6 Baths,"5,034 sqft ",2003,2 Car Garage,No,"$6,500,000",Miami
3030 Matilda St #3030,3 Beds,3 Baths,"2,360 sqft",2008,1 Car Garage,,"$1,100,000",Miami
1723 SW 2nd Ave #606,1 Bed,1 Bath,638 sqft,2007,1 Car Garage,Pool,"$279,000",Miami
2464 SW 24th Ter,3 Beds,2 Baths,"1,320 sqft",1939,Garage,No,"$599,000",Miami
851 NE 1st Ave #3600,1 Bed,2 Baths,"1,018 sqft",2019,Garage,Pool,"$785,000",Miami
3310 SW 26th St,3 Beds,2 Baths,"1,740 sqft",1949,Open Parking,No,"$648,888",Miami
1100 S Miami Ave #3404,2 Beds,2 Baths,921 sqft,2015,1 Car Garage,,"$650,000",Miami
1700 NW North River Dr #207,2 Beds,2 Baths,883 sqft,1982,No Info,,"$270,000",Miami
1000 Brickell Plz #UPH6201,6 Beds,9 Baths,"7,855 sqft",2020,Garage,Pool,"$25,000,000",Miami
Address Not Disclosed,3 Beds,2 Baths,"1,192 sqft",1952,Open Parking,No,"$349,800",Miami
55 NW 67th Ave,2 Beds,1 Bath,"1,240 sqft",1947,Open Parking,No,"$385,000",Miami
4287 SW 5th St,5 Beds,4 Baths,"2,926 sqft",2008,Garage,No,"$899,000",Miami
600 NE 36th St #1604,2 Beds,2 Baths,"1,218 sqft",1973,Garage,,"$459,000",Miami
