Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
1314 S Paxon St,3 Beds,1 Bath,"1,050 sqft",1940,Open Parking,Pool,"$214,500",Philadelphia
2939 Lardner St,3 Beds,1 Bath,"1,136 sqft",1950,1 Car Garage,Pool,"$174,900",Philadelphia
1544 Devereaux Ave,3 Beds,1 Bath,"1,242 sqft",1950,1 Car Garage,Pool,"$199,900",Philadelphia
3216 Fordham Rd,3 Beds,1 Bath,"1,164 sqft",1954,1 Car Garage,Pool,"$199,500",Philadelphia
3665 Belgrade St,3 Beds,3 Baths,"2,008 sqft",2009,No Info,Pool,"$279,900",Philadelphia
5338 Webster St,4 Beds,1 Bath,"1,600 sqft",1925,Open Parking,Pool,"$269,900",Philadelphia
3405 Amity Rd,3 Beds,3 Baths,"1,449 sqft",1973,1 Car Garage,Pool,"$309,900",Philadelphia
1063 Edgemore Rd,2 Beds,2 Baths,800 sqft,1925,Open Parking,Pool,"$180,000",Philadelphia
4514 Higbee St,4 Beds,3 Baths,"2,850 sqft",2010,1 Car Garage,No,"$439,900",Philadelphia
2818 N Swanson St,2 Beds,1 Bath,936 sqft,1935,Open Parking,Pool,"$145,000",Philadelphia
8600 Jackson St,3 Beds,2 Baths,"1,152 sqft",1962,1 Open Spaces,Pool,"$195,000",Philadelphia
2351 N Mascher St,3 Beds,2 Baths,"1,334 sqft",1996,1 Open Spaces,Pool,"$354,900",Philadelphia
310 Lombard St,3 Beds,3 Baths,"2,039 sqft",1805,1 Parking Spaces,Pool,"$1,150,000",Philadelphia
536 Mifflin St,3 Beds,3 Baths,"1,625 sqft",1920,Open Parking,Pool,"$350,000",Philadelphia
705 Earp St,3 Beds,1 Bath,"1,350 sqft",1915,Open Parking,Pool,"$269,900",Philadelphia
3433 Chalfont Dr,3 Beds,2 Baths,"1,360 sqft",1974,1 Car Garage,Pool,"$299,900",Philadelphia
3803 Sharp St,4 Beds,3 Baths,"1,944 sqft",1900,Open Parking,Pool,"$359,900",Philadelphia
106 W Salaignac St,5 Beds,2 Baths,"1,768 sqft",No Info,Open Parking,Pool,"$359,900",Philadelphia
5941 N Lawrence St,4 Beds,2 Baths,"1,316 sqft",1947,1 Car Garage,Pool,"$179,999",Philadelphia
242 E Slocum St,4 Beds,3 Baths,"2,060 sqft",No Info,Open Parking,Pool,"$399,000",Philadelphia
1038 N Leithgow St,3 Beds,1 Bath,"1,110 sqft",1920,Open Parking,Pool,"$360,000",Philadelphia
3040 N Water St,2 Beds,1 Bath,"1,016 sqft",1920,Open Parking,Pool,"$59,000",Philadelphia
440 Dupont St,3 Beds,4 Baths,"2,040 sqft",2006,1 Car Garage,Pool,"$460,000",Philadelphia
808 Morris St,3 Beds,4 Baths,"5,550 sqft",1925,Garage,No,"$2,875,000",Philadelphia
1812 S Taylor St,4 Beds,3 Baths,"3,650 sqft",No Info,Open Parking,Pool,"$412,000",Philadelphia
812 Wynnewood Rd,6 Beds,,"2,710 sqft",1925,Open Parking,Pool,"$290,000",Philadelphia
142 N Hobart St,3 Beds,1 Bath,"1,246 sqft",1925,Open Parking,Pool,"$149,000",Philadelphia
1522 E Duval St,3 Beds,3 Baths,"1,420 sqft",1943,Garage,No,"$285,000",Philadelphia
6508 Ditman St,3 Beds,3 Baths,"1,582 sqft",2005,1 Car Garage,No,"$240,000",Philadelphia
750 N Uber St,4 Beds,2 Baths,"1,290 sqft",1920,Open Parking,Pool,"$499,900",Philadelphia
4708 Melrose St,3 Beds,2 Baths,"1,232 sqft",1920,Open Parking,Pool,"$175,000",Philadelphia
4543 Tudor St,3 Beds,1 Bath,"1,046 sqft",1950,1 Car Garage,Pool,"$199,900",Philadelphia
517 Wellesley Rd,5 Beds,3 Baths,"2,582 sqft",1925,Garage,No,"$375,000",Philadelphia
854 N 29th St,3 Beds,4 Baths,"2,200 sqft",1920,None,Pool,"$685,000",Philadelphia
6715 Emlen St,6 Beds,4 Baths,"3,667 sqft",1925,3 Open Spaces,No,"$675,000",Philadelphia
438 E Thompson St,3 Beds,2 Baths,"2,037 sqft",2016,2 Open Spaces,Pool,"$575,000",Philadelphia
1226 Chancellor St,3 Beds,3 Baths,"1,764 sqft",1900,Open Parking,Pool,"$665,000",Philadelphia
2010 S 23rd St,3 Beds,1 Bath,"1,036 sqft",1920,No Info,Pool,"$109,900",Philadelphia
1126 W Somerville Ave,3 Beds,1 Bath,"1,296 sqft",1925,Open Parking,Pool,"$130,000",Philadelphia
3205 Winter St,5 Beds,3 Baths,"1,997 sqft",1940,Open Parking,No,"$450,000",Philadelphia
421 S Carlisle St,3 Beds,2 Baths,"1,149 sqft",No Info,Open Parking,Pool,"$450,000",Philadelphia
1739 S Orianna St,3 Beds,2 Baths,858 sqft,1900,Open Parking,Pool,"$325,000",Philadelphia
7515 Turnstone Pl,2 Beds,2 Baths,860 sqft,1920,1 Car Garage,Pool,"$140,000",Philadelphia
1815 Addison St,2 Beds,2 Baths,"2,015 sqft",No Info,1 Open Spaces,Pool,"$825,000",Philadelphia
3900 Ford Rd #21S,2 Beds,2 Baths,"1,230 sqft",1960,No Info,Pool,"$119,000",Philadelphia
1319 Disston St,4 Beds,2 Baths,"1,440 sqft",1950,Garage,No,"$289,900",Philadelphia
209 W Chestnut Hill Ave,8 Beds,8 Baths,"16,581 sqft",1909,Garage,No,"$1,795,000",Philadelphia
1623 S Rosewood St,3 Beds,1 Bath,"1,082 sqft",1925,Open Parking,Pool,"$325,000",Philadelphia
546 E Hewson St,3 Beds,3 Baths,"1,886 sqft",2016,None,Pool,"$575,000",Philadelphia
6817 Ardleigh St,4 Beds,2 Baths,"2,500 sqft",1925,Garage,No,"$299,000",Philadelphia
832 N Judson St,2 Beds,2 Baths,988 sqft,1925,Open Parking,Pool,"$409,900",Philadelphia
2418 N Mascher St,1 Bed,1 Bath,747 sqft,1920,Open Parking,Pool,"$179,000",Philadelphia
S Robinson St,3 Beds,,"1,660 sqft",1975,Open Parking,Pool,"$250,000",Philadelphia
1638 S Camac St,3 Beds,1 Bath,"1,068 sqft",1925,None,Pool,"$374,900",Philadelphia
417 Krams Ave,3 Beds,2 Baths,"1,304 sqft",1940,Open Parking,Pool,"$234,900",Philadelphia
2011 E Letterly St,3 Beds,1 Bath,892 sqft,No Info,Open Parking,Pool,"$284,000",Philadelphia
2505 Panama St,4 Beds,3 Baths,"3,800 sqft",2004,2 Car Garage,Pool,"$2,495,000",Philadelphia
1528 S Bouvier St,3 Beds,2 Baths,"1,602 sqft",2017,Open Parking,Pool,"$300,000",Philadelphia
730 Salter St,2 Beds,2 Baths,"1,175 sqft",1920,Open Parking,Pool,"$414,000",Philadelphia
1339 E Oxford St,2 Beds,1 Bath,"1,052 sqft",1913,Open Parking,Pool,"$349,900",Philadelphia
337 Fitzgerald St,2 Beds,1 Bath,884 sqft,1925,Open Parking,Pool,"$255,000",Philadelphia
3677 Eveline St,3 Beds,1 Bath,"1,120 sqft",1920,Open Parking,Pool,"$279,000",Philadelphia
615 S Clarion St,3 Beds,3 Baths,"2,208 sqft",1960,1 Car Garage,Pool,"$929,000",Philadelphia
2672 Honeysuckle Ln,4 Beds,2 Baths,"2,355 sqft",2009,2 Car Garage,No,"$469,999",Philadelphia
269 E Montana St,3 Beds,2 Baths,"1,243 sqft",2007,1 Open Spaces,Pool,"$230,000",Philadelphia
4648 N 13th St,4 Beds,2 Baths,"1,986 sqft",1935,Open Parking,Pool,"$215,000",Philadelphia
2423 Olive St,3 Beds,2 Baths,"1,050 sqft",1919,Open Parking,Pool,"$485,000",Philadelphia
283 Hermitage St,4 Beds,3 Baths,,2021,2 Car Garage,Pool,"$1,095,000",Philadelphia
1734 Annin St,3 Beds,3 Baths,"2,544 sqft",1925,Open Parking,Pool,"$450,000",Philadelphia
768 N Croskey St,2 Beds,1 Bath,924 sqft,1920,Open Parking,Pool,"$335,000",Philadelphia
12431 Dunks Ferry Rd,3 Beds,2 Baths,"1,360 sqft",1973,1 Car Garage,Pool,"$260,000",Philadelphia
726 Emerson St,3 Beds,2 Baths,"2,184 sqft",1964,1 Car Garage,No,"$435,000",Philadelphia
1006 Ripley St,2 Beds,1 Bath,"1,425 sqft",1937,Open Parking,No,"$285,000",Philadelphia
6462 Morris Park Rd,3 Beds,1 Bath,"1,408 sqft",1925,1 Car Garage,Pool,"$220,000",Philadelphia
2012 Memphis St,2 Beds,1 Bath,"1,155 sqft",1900,None,Pool,"$310,000",Philadelphia
5027 Worth St,2 Beds,1 Bath,720 sqft,1935,Open Parking,Pool,"$99,900",Philadelphia
123 W Gorgas Ln,4 Beds,3 Baths,"2,208 sqft",1915,Open Parking,No,"$399,900",Philadelphia
456 E Walnut Ln,6 Beds,4 Baths,"2,200 sqft",1910,Open Parking,No,"$324,000",Philadelphia
2315 Madison Sq,3 Beds,3 Baths,"1,612 sqft",1925,Open Parking,Pool,"$549,900",Philadelphia
120 W Godfrey Ave,3 Beds,2 Baths,"1,290 sqft",1953,Open Parking,Pool,"$185,000",Philadelphia
1624 E Hunting Park Ave,3 Beds,2 Baths,"1,374 sqft",1915,1 Open Spaces,Pool,"$170,000",Philadelphia
3200 Tyson Ave,4 Beds,,"1,872 sqft",1950,Open Parking,Pool,"$384,999",Philadelphia
5822 Delancey St,3 Beds,1 Bath,"1,112 sqft",1925,Open Parking,Pool,"$135,000",Philadelphia
1922 Montrose St,3 Beds,3 Baths,"1,704 sqft",1915,Open Parking,Pool,"$565,000",Philadelphia
3622 Grayton Pl,3 Beds,2 Baths,"1,332 sqft",1955,1 Car Garage,Pool,"$295,000",Philadelphia
1641 Latona St,2 Beds,1 Bath,870 sqft,1925,Open Parking,Pool,"$274,900",Philadelphia
1019 E Slocum St,3 Beds,3 Baths,"1,474 sqft",1950,1 Car Garage,No,"$240,000",Philadelphia
6420 Overbrook Ave,8 Beds,3 Baths,"3,294 sqft",1925,Open Parking,No,"$380,000",Philadelphia
9116 Diplomat Pl,3 Beds,3 Baths,"2,200 sqft",1985,1 Car Garage,No,"$369,900",Philadelphia
