Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
1470 23rd Ave,3 Beds,1 Bath,"1,470 sqft",1923,Attached Garage,No,"$1,298,000",San Francisco
1872 Fell St,3 Beds,3 Baths,"1,855 sqft",1900,Attached Garage,,"$1,795,000",San Francisco
34 Vienna St,1 Bed,1 Bath,840 sqft,No Info,No Info,No,"$829,000",San Francisco
358 San Carlos St,3 Beds,4 Baths,"2,429 sqft",1880,Attached Garage,No,"$2,995,000",San Francisco
148 Buena Vista Ter,2 Beds,1 Bath,,1895,Attached Garage,No,"$2,195,000",San Francisco
1250 Ellis St #8,3 Beds,2 Baths,"1,310 sqft",1962,Garage,,"$1,195,000",San Francisco
88 King St #1208,3 Beds,2 Baths,"1,412 sqft ",2000,Attached Garage,Pool,"$1,749,000",San Francisco
143 Athens St,3 Beds,2 Baths,,1950,Attached Garage,No,"$995,000",San Francisco
601 Van Ness Ave #19,2 Beds,2 Baths,"1,022 sqft ",1982,1 Parking Spaces,,"$859,000",San Francisco
70 Rockridge Dr,2 Beds,2 Baths,"1,546 sqft",1947,Attached Garage,No,"$1,150,000",San Francisco
855 Folsom St #511,2 Beds,2 Baths,"1,380 sqft",2001,Garage,,"$1,399,000",San Francisco
1423 York St,3 Beds,2 Baths,"1,530 sqft",1923,Garage,No,"$1,195,000",San Francisco
3536 Taraval St,3 Beds,2 Baths,"1,411 sqft",2017,Attached Garage,,"$1,595,000",San Francisco
332 Cresta Vista Dr,3 Beds,2 Baths,"1,624 sqft",1991,No Info,No,"$1,493,000",San Francisco
296 Cresta Vista Dr,4 Beds,4 Baths,"3,596 sqft",2009,Attached Garage,No,"$2,995,000",San Francisco
71 Los Palmos Dr,3 Beds,2 Baths,"1,415 sqft",1955,Attached Garage,No,"$1,349,000",San Francisco
52 Innes Ct #309,2 Beds,2 Baths,"1,210 sqft ",2017,Attached Garage,,"$898,000",San Francisco
155 Harriet St #10,2 Beds,2 Baths,980 sqft,2001,Attached Garage,,"$829,000",San Francisco
161 Concord St,3 Beds,2 Baths,"1,302 sqft",1926,Garage,No,"$1,088,000",San Francisco
1299 Bush St #802,3 Beds,2 Baths,"1,582 sqft",2009,Garage,,"$1,699,000",San Francisco
33 Bella Vista Way,3 Beds,2 Baths,,No Info,Attached Garage,No,"$1,395,000",San Francisco
650 Chestnut St #209,2 Beds,2 Baths,"1,275 sqft ",1995,1 Parking Spaces,,"$1,195,000",San Francisco
843 A South Van Ness Ave #6,2 Beds,2 Baths,"1,266 sqft",2003,Attached Garage,,"$1,225,000",San Francisco
175 Langton St #4,2 Beds,2 Baths,"1,692 sqft",1999,Garage,,"$1,050,000",San Francisco
1808 47th Ave,6 Beds,4 Baths,"2,934 sqft",1965,4 Car Garage,,"$1,595,000",San Francisco
239 Brannan St #11E,2 Beds,2 Baths,"1,137 sqft",2002,Garage,Pool,"$1,549,000",San Francisco
270 Henry St #201,2 Beds,2 Baths,"1,084 sqft",1996,Garage,,"$1,488,000",San Francisco
2030 3rd St #18,2 Beds,3 Baths,"1,482 sqft",1999,Attached Garage,,"$1,298,000",San Francisco
602 Capp St,3 Beds,2 Baths,"1,500 sqft",1900,Garage,Pool,"$1,699,000",San Francisco
1836 Golden Gate Ave,3 Beds,2 Baths,"1,965 sqft",1913,Garage,,"$1,695,000",San Francisco
543 Lombard St,3 Beds,2 Baths,"1,550 sqft",1925,Attached Garage,,"$1,800,000",San Francisco
601 Van Ness Ave #948,Studio,1 Bath,523 sqft ,1982,1 Parking Spaces,Pool,"$399,000",San Francisco
1089-1093 Kansas St,4 Beds,1 Bath,"2,050 sqft",1912,Garage,,"$1,398,000",San Francisco
1545 Pine St #804,2 Beds,2 Baths,"1,140 sqft",2017,Attached Garage,,"$1,499,000",San Francisco
2412 Harrison St #111,2 Beds,2 Baths,"1,369 sqft ",2002,2 Parking Spaces,,"$1,195,000",San Francisco
2412 Harrison St #210,2 Beds,2 Baths,"1,410 sqft ",2002,Garage,,"$1,195,000",San Francisco
3590 20th St #502,3 Beds,3 Baths,"1,675 sqft ",2015,Garage,Pool,"$2,248,000",San Francisco
275-277 Maynard St,3 Beds,2 Baths,"1,672 sqft",1925,Attached Garage,No,"$1,095,000",San Francisco
25 Sierra St #308,2 Beds,2 Baths,"1,050 sqft ",2006,Garage,,"$995,000",San Francisco
48 Service St,2 Beds,1 Bath,"1,095 sqft",1961,Attached Garage,,"$1,215,000",San Francisco
1966 Pacific Ave #204,2 Beds,2 Baths,"1,115 sqft",1956,1 Parking Spaces,,"$1,485,000",San Francisco
201 Folsom St #4G,2 Beds,2 Baths,"1,401 sqft ",2016,Attached Garage,Pool,"$1,789,000",San Francisco
279 2nd Ave,2 Beds,1 Bath,"1,239 sqft",1906,Attached Garage,,"$1,295,000",San Francisco
2130 Leavenworth St #2,1 Bed,1 Bath,,1924,No Info,,"$550,000",San Francisco
3234 Washington St #2,1 Bed,1 Bath,732 sqft,1970,No Info,,"$799,000",San Francisco
1400 Mission St #203,2 Beds,2 Baths,916 sqft,2015,No Info,Pool,"$392,475",San Francisco
941 Treat Ave,2 Beds,2 Baths,"1,287 sqft",,,,"$1,695,000",San Francisco
600 A Missouri St #A,2 Beds,4 Baths,"1,738 sqft",2004,Attached Garage,,"$1,595,000",San Francisco
3498 Jackson St,5 Beds,8 Baths,"6,385 sqft",1937,4 Parking Spaces,No,"$12,900,000",San Francisco
2582 Filbert St,6 Beds,9 Baths,"12,200 sqft ",No Info,Garage,Yes,"$46,000,000",San Francisco
813 Lyon St #1,3 Beds,4 Baths,"2,020 sqft",2021,1 Parking Spaces,,"$1,795,000",San Francisco
350 Alabama St #9,2 Beds,2 Baths,"1,695 sqft",2003,Garage,,"$1,299,999",San Francisco
2200 Pacific Ave #2A,2 Beds,2 Baths,"1,856 sqft ",1962,Attached Garage,Pool,"$1,680,000",San Francisco
739-741 Clayton St #739,3 Beds,1 Bath,,1904,Attached Garage,,"$1,575,000",San Francisco
1226 Anza St,4 Beds,3 Baths,"2,805 sqft",No Info,Garage,No,"$2,495,000",San Francisco
151 Alice B Toklas Pl #401,1 Bed,1 Bath,655 sqft ,1920,Attached Garage,Pool,"$679,000",San Francisco
1725 Hyde St #3,2 Beds,2 Baths,,,,,"$995,000",San Francisco
338 Vernon St,3 Beds,2 Baths,"1,250 sqft",1944,1 Car Garage,No,"$999,000",San Francisco
1910 Divisadero St #4,2 Beds,1 Bath,845 sqft,1912,No Info,,"$798,000",San Francisco
123 Corwin St #A,2 Beds,1 Bath,,1962,Attached Garage,,"$995,000",San Francisco
2501 Harrison St #2,2 Beds,3 Baths,"1,516 sqft",2000,Attached Garage,Pool,"$1,485,000",San Francisco
