Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
322 G St SE,2 Beds,3 Baths,"1,662 sqft",1890,Open Parking,Pool,"$938,500",Washington
2410 Good Hope Rd SE #101,1 Bed,1 Bath,650 sqft,1940,Open Parking,Pool,"$89,900",Washington
750 Rock Creek Church Rd NW,5 Beds,4 Baths,"3,110 sqft",1910,Open Parking,Pool,"$1,150,000",Washington
4033 22nd St NE,5 Beds,4 Baths,"3,500 sqft",1927,5 Open Spaces,No,"$1,150,000",Washington
1801 Clydesdale Pl NW #222,1 Bed,1 Bath,687 sqft,1950,Open Parking,Pool,"$279,000",Washington
1327 R St NW #1,4 Beds,5 Baths,"3,063 sqft",2021,1 Carport Spaces,Pool,"$2,495,000",Washington
2311 M St NW #701,1 Bed,2 Baths,888 sqft,1989,1 Car Garage,Pool,"$750,000",Washington
3730 W St NW,5 Beds,6 Baths,"4,700 sqft",1931,1 Car Garage,No,"$2,995,000",Washington
1301 Rhode Island Ave NW #4,2 Beds,2 Baths,"1,455 sqft",1886,Open Parking,Pool,"$1,150,000",Washington
4609 Macarthur Blvd NW #B,2 Beds,3 Baths,"1,174 sqft",1900,No Info,Pool,"$675,000",Washington
20 Chesapeake St SE #4,1 Bed,1 Bath,600 sqft,1950,No Info,Pool,"$45,000",Washington
903 Hughes Mews NW #4,2 Beds,3 Baths,"1,304 sqft",1985,1 Parking Spaces,Pool,"$1,079,000",Washington
149 Forrester St SW,2 Beds,2 Baths,"1,296 sqft",1942,Open Parking,Pool,"$429,900",Washington
1725 17th St NW #104,1 Bed,2 Baths,900 sqft,1917,Open Parking,Pool,"$489,000",Washington
2000 16th St NW #3,2 Beds,2 Baths,853 sqft,1900,Open Parking,Pool,"$499,000",Washington
4836 New Hampshire Ave NW,8 Beds,4 Baths,"3,039 sqft",1935,Open Parking,Pool,"$799,900",Washington
4025 7th St NE #1,2 Beds,2 Baths,779 sqft,1937,1 Parking Spaces,Pool,"$465,000",Washington
2118 3rd St NE #A,3 Beds,3 Baths,"1,618 sqft",2014,1 Open Spaces,Pool,"$729,900",Washington
1441 Rhode Island Ave NW #319,2 Beds,1 Bath,905 sqft,2003,1 Car Garage,Pool,"$749,900",Washington
6526 N Capitol St NW,2 Beds,1 Bath,896 sqft,1949,Open Parking,Pool,"$520,000",Washington
2001 12th St NW #214,1 Bed,1 Bath,790 sqft,2000,Garage,Pool,"$485,000",Washington
1532 E St SE,4 Beds,4 Baths,"2,400 sqft",1908,Open Parking,Pool,"$1,549,900",Washington
2424 17th St NW #105,1 Bed,1 Bath,327 sqft,1910,Open Parking,Pool,"$314,000",Washington
5030 Linnean Ave NW,7 Beds,6 Baths,"8,362 sqft ",1952,2 Car Garage,No,"$3,895,000",Washington
1443 Corcoran St NW,3 Beds,4 Baths,"2,700 sqft",1889,1 Open Spaces,Pool,"$1,740,000",Washington
1702 Lang Pl NE,2 Beds,2 Baths,"1,292 sqft",1937,Open Parking,Pool,"$635,000",Washington
1341 Oak St NW,5 Beds,4 Baths,"2,190 sqft",1908,2 Open Spaces,Pool,"$1,349,000",Washington
223 Florida Ave NW #1,2 Beds,2 Baths,770 sqft,1905,Garage,Pool,"$429,900",Washington
3249 38th St NW,3 Beds,3 Baths,"1,829 sqft",1926,Garage,Pool,"$1,329,000",Washington
2725 39th St NW #108,1 Bed,1 Bath,747 sqft,1959,No Info,Pool,"$299,900",Washington
5735 Kansas Ave NW,5 Beds,5 Baths,"2,736 sqft",1935,Garage,No,"$980,000",Washington
1715 15th St NW #13,2 Beds,2 Baths,"1,002 sqft",1929,Garage,Pool,"$720,000",Washington
1504 6th St NW #1,2 Beds,3 Baths,"1,050 sqft",2020,Open Parking,Pool,"$799,995",Washington
910 Evarts St NE,3 Beds,2 Baths,992 sqft,1928,Open Parking,Pool,"$550,000",Washington
725 Euclid St NW #3,3 Beds,2 Baths,"1,513 sqft",1927,1 Parking Spaces,Pool,"$1,149,900",Washington
1835 Phelps Pl NW #43,2 Beds,1 Bath,"1,024 sqft",1925,Open Parking,Pool,"$649,000",Washington
2475 Virginia Ave NW #525,1 Bed,1 Bath,785 sqft,1956,Open Parking,Pool,"$270,000",Washington
6445 Luzon Ave NW #507,1 Bed,1 Bath,950 sqft,1960,Open Parking,Pool,"$215,000",Washington
3816 Porter St NW #B398,2 Beds,2 Baths,"1,365 sqft",1942,Open Parking,Pool,"$699,900",Washington
710 13th St NE,2 Beds,3 Baths,"1,472 sqft",1925,Open Parking,No,"$799,000",Washington
1311 Delaware Ave SW #646,1 Bed,1 Bath,700 sqft,1962,No Info,Pool,"$199,900",Washington
2540 Massachusetts Ave NW #308,2 Beds,1 Bath,"1,082 sqft",1923,No Info,Pool,"$589,000",Washington
4600 Connecticut Ave NW #729,3 Beds,2 Baths,"1,175 sqft",1948,1 Car Garage,Pool,"$575,000",Washington
3031 Chancellors Way NE,4 Beds,4 Baths,"2,001 sqft",2012,2 Car Garage,Pool,"$979,000",Washington
1851 Columbia Rd NW #310,1 Bed,1 Bath,508 sqft,1902,Open Parking,Pool,"$399,000",Washington
4100 W St NW #506,2 Beds,1 Bath,985 sqft,1950,1 Parking Spaces,Pool,"$380,000",Washington
336 Adams St NE #D,2 Beds,1 Bath,,1925,No Info,Pool,"$199,900",Washington
1819 Monroe St NW,7 Beds,6 Baths,"3,754 sqft",1909,Open Parking,Pool,"$1,699,000",Washington
1875 Mintwood Pl NW #25,1 Bed,1 Bath,631 sqft,1926,None,Pool,"$349,000",Washington
5810 8th St NW,4 Beds,3 Baths,"1,880 sqft",1927,Open Parking,Pool,"$649,000",Washington
4424 Georgia Ave NW #302,2 Beds,3 Baths,"1,320 sqft",2020,Open Parking,Pool,"$750,000",Washington
1200 23rd St NW #802,1 Bed,2 Baths,875 sqft,1981,No Info,Pool,"$295,000",Washington
2509 Branch Ave SE,5 Beds,4 Baths,"2,350 sqft",1936,4 Open Spaces,No,"$799,900",Washington
731 Harvard St NW,3 Beds,1 Bath,"1,296 sqft",1910,Open Parking,Pool,"$499,897",Washington
1500 10th St NW,4 Beds,4 Baths,"2,000 sqft",1900,Open Parking,Pool,"$1,200,000",Washington
1633 16th St NW,12 Beds,11 Baths,"9,339 sqft",1885,1 Car Garage,No,"$4,299,000",Washington
1231 V St SE,3 Beds,2 Baths,"3,335 sqft",1905,Garage,No,"$830,000",Washington
1735 Johnson Ave NW #B,2 Beds,2 Baths,829 sqft,2002,None,Pool,"$665,000",Washington
1827 Phelps Pl NW,5 Beds,6 Baths,"4,209 sqft",1900,Open Parking,Pool,"$2,349,000",Washington
Home 101 Plan in The Archie by McWilliams Ballard,1 Bed,1 Bath,544 sqft,2021,No Info,,"$374,900+",Washington
4444 Connecticut Ave NW #706,2 Beds,2 Baths,906 sqft,1924,1 Car Garage,Pool,"$555,000",Washington
3109 Naylor Rd SE #C,2 Beds,1 Bath,855 sqft,1965,No Info,Pool,"$125,000",Washington
4613 Charleston Ter NW,6 Beds,7 Baths,"5,632 sqft",1982,2 Car Garage,No,"$2,250,000",Washington
2905 Georgia Ave NW #101,1 Bed,1 Bath,343 sqft,2021,No Info,No,"$299,900",Washington
2700 Virginia Ave NW #502,4 Beds,4 Baths,"3,678 sqft",1965,2 Car Garage,Pool,"$3,799,900",Washington
911 8th St NE,4 Beds,4 Baths,"2,730 sqft",1900,Open Parking,Pool,"$1,175,000",Washington
1447 Chapin St NW #304,1 Bed,1 Bath,486 sqft,1920,None,Pool,"$294,500",Washington
1 Scott Cir NW #603,1 Bed,1 Bath,497 sqft,1891,Open Parking,Pool,"$281,900",Washington
4704 7th St NE,3 Beds,4 Baths,"2,040 sqft",1974,2 Open Spaces,No,"$630,000",Washington
1833 Rear 5 St NW,6 Beds,4 Baths,"2,800 sqft",1890,Open Parking,No,"$2,450,000",Washington
3601 Wisconsin Ave NW #401,1 Bed,1 Bath,692 sqft,1950,Open Parking,Pool,"$288,000",Washington
2024 16th St NW #1,2 Beds,3 Baths,"1,089 sqft",1920,Open Parking,Pool,"$880,000",Washington
3611 38th St NW #301,1 Bed,1 Bath,745 sqft,1985,1 Parking Spaces,Pool,"$385,000",Washington
1440 Church St NW #501,2 Beds,2 Baths,979 sqft,2002,1 Car Garage,Pool,"$799,000",Washington
2201 L St NW #108,1 Bed,1 Bath,475 sqft,1967,None,Pool,"$330,000",Washington
3117 Georgia Ave NW #1,2 Beds,2 Baths,761 sqft,2021,Open Parking,Pool,"$499,900",Washington
520 Irving St NW,5 Beds,4 Baths,"2,446 sqft",1916,Garage,Pool,"$1,350,000",Washington
502 Edgewood St NE,4 Beds,2 Baths,"1,452 sqft",1929,Open Parking,Pool,"$599,999",Washington
4336 Blagden Ave NW,4 Beds,4 Baths,"3,520 sqft",2021,1 Car Garage,No,"$1,625,000",Washington
4201 47th St NW,6 Beds,4 Baths,"4,084 sqft",1968,1 Car Garage,No,"$1,995,000",Washington
3800 Rodman St NW #101,1 Bed,1 Bath,795 sqft,1985,1 Parking Spaces,Pool,"$364,900",Washington
2126 Connecticut Ave NW #39,2 Beds,2 Baths,"1,200 sqft",1910,Open Parking,Pool,"$749,000",Washington
315 T St NE #2,3 Beds,3 Baths,"1,594 sqft",1909,Open Parking,Pool,"$775,000",Washington
1518 10th St NW,5 Beds,4 Baths,"3,765 sqft",1895,2 Open Spaces,Pool,"$2,350,000",Washington
3038 N St NW,8 Beds,6 Baths,"9,339 sqft ",1805,5 Open Spaces,No,"$10,000,000",Washington
1918 15th St NW #1,2 Beds,2 Baths,"1,400 sqft",1885,1 Parking Spaces,Pool,"$883,000",Washington
4200 Massachusetts Ave NW #102,2 Beds,3 Baths,"1,604 sqft",1971,1 Car Garage,Pool,"$799,500",Washington
2409 Wyoming Ave NW,6 Beds,8 Baths,"8,539 sqft",1926,Garage,No,"$5,995,000",Washington
1723 19th St NW,6 Beds,7 Baths,"4,457 sqft",1910,2 Open Spaces,Pool,"$2,495,000",Washington
1310 Vermont Ave NW #1,1 Bed,1 Bath,746 sqft,2020,No Info,Pool,"$599,000",Washington
116 Yuma St SE,6 Beds,3 Baths,"1,898 sqft",1951,Open Parking,No,"$459,000",Washington
815 T St NW #A,3 Beds,3 Baths,"1,577 sqft",1900,Open Parking,Pool,"$875,000",Washington
1312 Upshur St NW #2,3 Beds,3 Baths,"1,302 sqft",1938,Open Parking,Pool,"$899,000",Washington
2475 Virginia Ave NW #517,1 Bed,1 Bath,925 sqft,1956,No Info,Pool,"$325,000",Washington
