Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
428 Englewood Ave,3 Beds,4 Baths,"1,800 sqft",2000,Garage,No,"$754,900",New York
3422 Avenue R,4 Beds,2 Baths,"1,728 sqft",1925,No Info,No,"$699,000",New York
81-27 259th St,4 Beds,3 Baths,"1,100 sqft",1950,No Info,No,"$799,999",New York
1529 85th St,4 Beds,2 Baths,"1,824 sqft",1955,No Info,,"$1,150,000",New York
461 83rd St,4 Beds,3 Baths,"2,598 sqft",1920,Garage,,"$1,249,000",New York
343 E 74th St #1D,3 Beds,4 Baths,"1,862 sqft",1987,No Info,,"$1,350,000",New York
15 Central Park W #41,4 Beds,4 Baths,"4,024 sqft",2007,No Info,Pool,"$45,000,000",New York
1495 E 93rd St,4 Beds,3 Baths,"2,467 sqft",1965,Open Parking,,"$808,000",New York
1204 Franklin Ave,5 Beds,2 Baths,"2,695 sqft",1910,No Info,,"$125,000",New York
227-15 112th Rd,4 Beds,2 Baths,"1,304 sqft",1950,No Info,No,"$759,999",New York
329 Beach 45th St,6 Beds,2 Baths,"2,958 sqft",1925,Garage,,"$350,000",New York
11245 178th Pl,5 Beds,4 Baths,"1,996 sqft",1930,Garage,No,"$799,000",New York
2 Park Pl #PAVILION-A,5 Beds,6 Baths,"6,711 sqft",1913,No Info,Pool,"$25,950,000",New York
39 Brevoort Pl,5 Beds,3 Baths,"3,400 sqft",1910,No Info,,"$1,800,000",New York
258 Corona Ave,2 Beds,2 Baths,"1,364 sqft",1988,Open Parking,Pool,"$430,000",New York
1199 Rockland Ave,3 Beds,1 Bath,"1,368 sqft",1920,No Info,No,"$550,000",New York
2911 D Ave,,3 Baths,"2,160 sqft",1910,None,,"$399,000",New York
1550 Rockaway Pkwy,3 Beds,3 Baths,"1,554 sqft",1930,No Info,No,"$675,000",New York
555 W End Ave #PENTHOUSE,6 Beds,8 Baths,"8,429 sqft",1908,No Info,,"$42,000,000",New York
16152 95th St,4 Beds,3 Baths,"2,504 sqft",1965,Garage,No,"$1,999,999",New York
24 Jamie Ct,3 Beds,2 Baths,"1,139 sqft",1986,Open Parking,Pool,"$425,000",New York
131 Lathrop Ave,3 Beds,2 Baths,"1,420 sqft",1930,Garage,No,"$699,999",New York
90 Albee Ave,3 Beds,2 Baths,"2,087 sqft",1979,Garage,No,"$779,000",New York
1383 Plimpton Ave #1C,1 Bed,1 Bath,450 sqft,1922,No Info,No,"$85,000",New York
111 W 57th St #72,4 Beds,6 Baths,"7,130 sqft",2020,No Info,Pool,"$66,000,000",New York
19215 Crocheron Ave,3 Beds,2 Baths,,1954,1 Car Garage,No,"$838,888",New York
178 Cuba Ave,3 Beds,3 Baths,"1,290 sqft",1975,No Info,Yes,"$674,888",New York
920 Metcalf Ave #3G,1 Bed,1 Bath,700 sqft,1967,No Info,,"$65,000",New York
105 Seneca Ave,3 Beds,2 Baths,"1,144 sqft",1955,Garage,No,"$949,000",New York
21 Hunter St,8 Beds,6 Baths,"7,478 sqft",2018,Garage,Yes,"$2,900,000",New York
1356 77th St,6 Beds,3 Baths,"1,980 sqft",1925,No Info,,"$1,199,000",New York
45 Hillside Ter,3 Beds,2 Baths,"1,852 sqft",1894,No Info,No,"$650,000",New York
89 Clarke Ave,3 Beds,2 Baths,"1,008 sqft",1955,1 Car Garage,Yes,"$669,900",New York
144 Laguardia Ave,3 Beds,3 Baths,"1,148 sqft",1975,No Info,No,"$539,000",New York
2340 E 65th St,6 Beds,6 Baths,"4,200 sqft",1950,No Info,No,"$3,500,000",New York
10 Wilson Ter,4 Beds,5 Baths,"4,918 sqft",2009,Garage,Yes,"$1,699,000",New York
37 Harvey St,6 Beds,5 Baths,"3,200 sqft",2020,Garage,,"$950,000",New York
131-16 115th Ave,3 Beds,2 Baths,,1925,No Info,No,"$235,000",New York
194-44 115th Dr,6 Beds,4 Baths,"4,000 sqft",1945,2 Car Garage,,"$799,000",New York
123 E 61st St,7 Beds,9 Baths,"9,300 sqft",1900,No Info,No,"$18,800,000",New York
1433 E 45th St,3 Beds,3 Baths,"1,728 sqft",1930,Garage,No,"$785,000",New York
130-30 130th St,4 Beds,3 Baths,,1950,No Info,No,"$569,000",New York
12 Parsons Pl,3 Beds,2 Baths,"1,650 sqft",1920,Open Parking,No,"$699,999",New York
1815 Newkirk Ave,4 Beds,3 Baths,"3,034 sqft",1910,Garage,No,"$900,000",New York
584 Bay Ridge Ave,3 Beds,3 Baths,"1,150 sqft",1930,No Info,No,"$775,000",New York
9717 Barwell Ter,2 Beds,2 Baths,"1,004 sqft",1925,Garage,No,"$850,000",New York
779 Logan St,6 Beds,5 Baths,"1,600 sqft",1920,Garage,,"$769,000",New York
