Address,Bedrooms,Bathrooms,Area,Year Built,Parking,Pool,Price,Location
6640 N College Ave,2 Beds,1 Bath,"1,924 sqft",1930,Garage,No,"$264,900",Indianapolis
1432 N Downey Ave,3 Beds,2 Baths,"2,322 sqft",1954,Garage,No,"$225,000",Indianapolis
2329 Gradison Cir,4 Beds,3 Baths,"1,978 sqft",1995,Garage,No,"$212,500",Indianapolis
8721 Kipling Dr,3 Beds,3 Baths,"2,718 sqft",2006,Garage,No,"$349,000",Indianapolis
8901 Jackson St,3 Beds,2 Baths,"1,120 sqft",1981,Garage,No,"$149,900",Indianapolis
17 W Thompson Rd,2 Beds,1 Bath,"2,128 sqft ",1936,Garage,No,"$190,000",Indianapolis
6612 Churchman Ave,3 Beds,2 Baths,"3,884 sqft ",1878,Open Parking,No,"$425,000",Indianapolis
3136 E Edgewood Ave,3 Beds,2 Baths,"3,001 sqft ",1905,Garage,No,"$243,900",Indianapolis
4903 E 70th St,3 Beds,2 Baths,"2,128 sqft ",1956,Garage,No,"$250,000",Indianapolis
1105 N Bosart Ave,2 Beds,2 Baths,"1,968 sqft",1929,Garage,No,"$175,000",Indianapolis
4434 Foltz St,2 Beds,1 Bath,"1,998 sqft ",1954,Garage,No,"$148,990",Indianapolis
3662 Graceland Ave,3 Beds,1 Bath,"2,029 sqft",1915,No Info,No,"$150,000",Indianapolis
6925 N Park Ave,3 Beds,3 Baths,"2,938 sqft",1951,Garage,No,"$374,999",Indianapolis
1532 Pleasant St,3 Beds,2 Baths,"1,523 sqft",1880,Garage,No,"$279,900",Indianapolis
1883 Valley Dr,4 Beds,3 Baths,"2,490 sqft ",1992,Garage,No,"$475,000",Indianapolis
6634 Stonepoint Way,4 Beds,3 Baths,"4,556 sqft",2004,Garage,No,"$499,000",Indianapolis
110 E Palmer St,4 Beds,4 Baths,"2,645 sqft",1900,No Info,No,"$349,000",Indianapolis
918 N Eaton Ave,3 Beds,2 Baths,"1,278 sqft",1952,Garage,No,"$139,900",Indianapolis
4342 N Lasalle St,2 Beds,1 Bath,"1,452 sqft ",1946,Garage,No,"$139,900",Indianapolis
4627 Stansbury Ct,3 Beds,2 Baths,"1,584 sqft",1982,Garage,,"$175,000",Indianapolis
2935 S Elizabeth St,3 Beds,2 Baths,"1,025 sqft ",1965,Garage,No,"$135,000",Indianapolis
825 N Bosart Ave,2 Beds,2 Baths,"1,100 sqft",1930,No Info,No,"$154,900",Indianapolis
2006 Dutch Elm Dr,3 Beds,3 Baths,"2,148 sqft",2002,Garage,No,"$210,000",Indianapolis
6341 Westdrum Rd,3 Beds,2 Baths,"1,398 sqft",1974,Garage,No,"$200,000",Indianapolis
5449 N College Ave,4 Beds,2 Baths,"3,000 sqft",1925,Garage,No,"$430,000",Indianapolis
3215 N Kenwood Ave,3 Beds,3 Baths,"1,532 sqft",2012,Garage,No,"$209,000",Indianapolis
935 E 101st St,3 Beds,2 Baths,"1,350 sqft ",1961,Garage,No,"$275,000",Indianapolis
212 Haugh St,3 Beds,3 Baths,"1,800 sqft",2019,Garage,No,"$315,000",Indianapolis
931 N Oakland Ave,2 Beds,2 Baths,"2,160 sqft",1900,No Info,No,"$175,000",Indianapolis
6411 Verbena Ct,3 Beds,2 Baths,"1,386 sqft",1965,Garage,No,"$175,000",Indianapolis
4043 Ruckle St,3 Beds,2 Baths,"2,890 sqft",1920,Garage,No,"$325,000",Indianapolis
333 Massachusetts Ave #405,3 Beds,2 Baths,"2,143 sqft",2007,Garage,,"$4,000",Indianapolis
4226 S Lynhurst Dr,2 Beds,1 Bath,720 sqft,1952,Garage,No,"$125,000",Indianapolis
3707 N Wittfield St,3 Beds,2 Baths,"1,213 sqft",1961,Garage,No,"$137,900",Indianapolis
975 Dorman St,4 Beds,4 Baths,"3,388 sqft",2016,Garage,No,"$789,900",Indianapolis
5742 Rosslyn Ave,2 Beds,1 Bath,"1,484 sqft",1941,Garage,No,"$274,900",Indianapolis
4625 N Audubon Rd,3 Beds,2 Baths,"3,484 sqft ",1955,Garage,No,"$184,900",Indianapolis
2515 Wigeon Ct,3 Beds,2 Baths,"2,892 sqft",2000,Garage,No,"$249,900",Indianapolis
4246 Norwaldo Ave,2 Beds,1 Bath,"1,296 sqft",1928,No Info,No,"$99,999",Indianapolis
815 Carlyle Pl,2 Beds,1 Bath,"2,092 sqft",1925,Garage,No,"$195,900",Indianapolis
8520 Beckinhill Ct,4 Beds,3 Baths,"3,023 sqft ",1982,Garage,No,"$255,000",Indianapolis
1627 Bellefontaine St,2 Beds,1 Bath,"1,282 sqft",1920,No Info,No,"$249,000",Indianapolis
7429 Trotter Rd,4 Beds,3 Baths,"2,388 sqft ",1998,Garage,No,"$325,000",Indianapolis
1505 N Grant Ave,3 Beds,2 Baths,"2,350 sqft",1910,No Info,No,"$170,000",Indianapolis
3201 S Lockburn St,2 Beds,1 Bath,"1,590 sqft",1935,Garage,No,"$134,900",Indianapolis
1817 E 75th Pl,3 Beds,1 Bath,875 sqft ,1954,No Info,No,"$149,900",Indianapolis
1020 E 60th St,2 Beds,1 Bath,"2,440 sqft",1940,Garage,No,"$239,900",Indianapolis
2604 E 71st St,2 Beds,1 Bath,952 sqft,1960,No Info,No,"$159,900",Indianapolis
6702 Jackson St,4 Beds,2 Baths,"2,352 sqft ",1940,Garage,No,"$199,900",Indianapolis
1318 Edgemont Ave,2 Beds,1 Bath,"1,008 sqft",1940,No Info,No,"$100,000",Indianapolis
6405 Monteo Dr,3 Beds,3 Baths,"2,035 sqft",2004,Garage,No,"$280,000",Indianapolis
3820 Todd Rd,4 Beds,2 Baths,"1,680 sqft ",1965,Garage,No,"$160,000",Indianapolis
1369 N Olney St,3 Beds,1 Bath,"1,728 sqft",1900,Garage,No,"$154,900",Indianapolis
5306 Scatterwood Ct,3 Beds,2 Baths,"1,200 sqft",1996,Garage,No,"$195,000",Indianapolis
5023 Gringo Dr,3 Beds,2 Baths,"1,028 sqft",1979,Garage,No,"$160,000",Indianapolis
4125 Rookwood Ave,2 Beds,2 Baths,"1,872 sqft",1928,Garage,No,"$265,000",Indianapolis
926 Barnwell Ct,3 Beds,3 Baths,"2,104 sqft",2002,Garage,No,"$259,900",Indianapolis
11134 Dura Dr,4 Beds,3 Baths,"2,100 sqft",2000,Garage,No,"$219,900",Indianapolis
649 E 9th St,2 Beds,3 Baths,"3,360 sqft",1996,Garage,No,"$749,000",Indianapolis
6922 Oak Ln,3 Beds,2 Baths,"2,228 sqft",1941,Garage,No,"$389,000",Indianapolis
5203 Greenwillow Ct #31,3 Beds,2 Baths,"1,702 sqft",1994,Garage,,"$235,000",Indianapolis
1142 Temperance Ave,2 Beds,1 Bath,624 sqft,1947,Garage,No,"$100,000",Indianapolis
8305 Wheatfield Dr,3 Beds,4 Baths,"3,228 sqft",2012,Garage,No,"$274,900",Indianapolis
10550 Mohave Ct,3 Beds,2 Baths,"1,056 sqft ",1984,Garage,No,"$139,000",Indianapolis
8660 Carrollton Ave,3 Beds,2 Baths,"2,552 sqft ",1950,Garage,No,"$329,900",Indianapolis
2257 Rome Dr,2 Beds,3 Baths,"1,410 sqft",1971,No Info,,"$167,900",Indianapolis
5770 E Pleasant Run Parkway North Dr,4 Beds,2 Baths,"2,904 sqft",1937,Garage,No,"$350,000",Indianapolis
5930 Lowell Ave,3 Beds,2 Baths,,1938,Garage,,"$199,900",Indianapolis
